ID,NAME,MODEL,COLORWAY,STYLE,SIZE,PRICE,SELLER RETURN,DATE IN,LOCATION,CONDITION
3476317,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,14,$450.00,$371.25,09/08/2019,NY,New
3476316,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,12.5,$600.00,$495.00,09/08/2019,NY,New
3476314,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,10.5,$375.00,$309.38,09/08/2019,NY,New
3476300,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476301,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476315,Air Jordan 11 Low Golf 'Metallic Gold',Air Jordan 11 Low Golf 'Metallic Gold',White/Metallic Gold,AQ0963 102,11,$305.00,$251.62,09/08/2019,NY,New
3476299,wmns air jordan 4 retro nrg ,wmns air jordan 4 retro nrg ,fire red/summit white-black,av3914 600,w12,$230.00,$189.75,09/08/2019,NY,New
3476297,NiceKicks x UltraBoost Consortium,NiceKicks x UltraBoost Consortium,Multicolor/White/Gum,EF7775,8.5,$500.00,$412.50,09/08/2019,NY,New
3454176,yeezy 500,yeezy 500,bonwht/bonwht/bonwht,fv3573,6.5,$440.00,$363.00,08/30/2019,NY,New
3255732,air jordan 11 retro,air jordan 11 retro,white/black-concord,378037 100,16,$350.00,$288.75,06/23/2019,FW,New
3368366,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,In Transit,New
3368283,yeezy boost 350 v2,yeezy boost 350 v2,clay/clay/clay,eg7490,4,$390.00,$321.75,08/03/2019,NY,New
3255730,air force 1 '07,air force 1 '07,white/white-game royal ,bq8448 100,13,$295.00,$243.38,06/23/2019,In Transit,New
3368227,Air Jordan 1 Mid SE,Air Jordan 1 Mid SE,Black/Black-Tour Yellow-White,852542 071,7.5,$230.00,$189.75,08/03/2019,FW,New
3368228,Air Jordan 1 Mid SE,Air Jordan 1 Mid SE,Black/Black-Tour Yellow-White,852542 071,7.5,$230.00,$189.75,08/03/2019,In Transit,New
3255736,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,7,$260.00,$214.50,06/23/2019,NY,New
3368232,air zoom vomero 5/acw,air zoom vomero 5/acw,solarised,acw vom 5 sol,9,$555.00,$457.88,08/03/2019,FW,New
3368277,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,1.5,$240.00,$198.00,08/03/2019,NY,New
3368285,yeezy boost 350 v2,yeezy boost 350 v2,clay/clay/clay,eg7490,4,$390.00,$321.75,08/03/2019,NY,New
3368284,yeezy boost 350 v2,yeezy boost 350 v2,clay/clay/clay,eg7490,4,$390.00,$321.75,08/03/2019,NY,New
3368369,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,FW,New
3368370,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,FW,New
3368368,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,NY,New
3368367,Air Jordan 1 Mid SE 'Rivals',Air Jordan 1 Mid SE 'Rivals',Field Purple/White-Gym Red,852542 005,8,$140.00,$115.50,08/03/2019,In Transit,New
2502705,CRAZY BYW LVL X PW,CRAZY BYW LVL X PW,Chalk Pink/Footwear White-Core Black,g28183,9,$130.00,$107.25,07/16/2018,FW,New
3235249,yeezy boost 700 v2,yeezy boost 700 v2,geode/geode/geode,eg6860 ,13,$320.00,$264.00,06/15/2019,NY,New
3368279,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,1,$260.00,$214.50,08/03/2019,NY,New
3368278,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,1,$260.00,$214.50,08/03/2019,NY,New
3368231,blazer low gt sb qs,blazer low gt sb qs,white/pink rise-gym red,cn4507 100,8.5,$390.00,$321.75,08/03/2019,FW,New
3368233,yung-1,yung-1,vivid berry/core black/core white ,fu7786,9.5,$550.00,$453.75,08/03/2019,NY,New
2499095,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,8,$280.00,$231.00,07/14/2018,FO,New
3235284,yeezy boost 350 v2,yeezy boost 350 v2,hypers/hypers/hypers,eg7491,9,$560.00,$462.00,06/15/2019,NY,New
2499104,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,6.5,$185.00,$152.62,07/14/2018,FO,New
2408613,Wmns M2K Tekno 'Pink Foam',Wmns M2K Tekno 'Pink Foam',pink foam/black-phantom white,AO3108 600,W9,$150.00,$123.75,05/12/2018,NY,New
2408610,Wmns M2K Tekno 'Pink Foam',Wmns M2K Tekno 'Pink Foam',pink foam/black-phantom white,AO3108 600,W9.5,$105.00,$86.62,05/12/2018,FW,New
3255740,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,11,$275.00,$226.88,06/23/2019,FW,New
3255735,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,6,$240.00,$198.00,06/23/2019,FW,New
3368235,wmns air zoom terra kiger 5/ow,wmns air zoom terra kiger 5/ow,electric green/metallic silver-sail,cd8179 300,W14,$220.00,$181.50,08/03/2019,NY,New
3368248,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,6,$400.00,$330.00,08/03/2019,NY,New
3368247,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,6,$400.00,$330.00,08/03/2019,NY,New
3368280,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,2,$450.00,$371.25,08/03/2019,NY,New
3368293,yeezy boost 350 v2,yeezy boost 350 v2,trfrm/trfrm/trfrm,eg7492,4.5,$580.00,$478.50,08/03/2019,NY,New
3368281,yeezy boost 350 v2 kids,yeezy boost 350 v2 kids,clay/clay/clay,eg6872,2,$450.00,$371.25,08/03/2019,NY,New
3368237,yeezy boost 700 v2 kids,yeezy boost 700 v2 kids,vanta/vanta/vanta,fu6695,13.5K,$410.00,$338.25,08/03/2019,NY,New
3368236,yeezy boost 700 v2 kids,yeezy boost 700 v2 kids,vanta/vanta/vanta,fu6695,13.5K,$410.00,$338.25,08/03/2019,NY,New
3368249,yeezy boost 350 v2,yeezy boost 350 v2,lundmark/lundmark/lundmark,fu9161,6,$400.00,$330.00,08/03/2019,NY,New
3368234,air jordan 6 retro nrg g8rd,air jordan 6 retro nrg g8rd,pine green/pine green,aj5986 335,12,$450.00,$371.25,08/03/2019,NY,New
3292258,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,8,$205.00,$169.12,,NY,New
3292257,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,8,$205.00,$169.12,,NY,New
3292256,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,7.5,$275.00,$226.88,,NY,New
3292255,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,7.5,$275.00,$226.88,,NY,New
3292254,air jordan 1 mid se,air jordan 1 mid se,black/black-tour yellow-white,852542 071,7.5,$275.00,$226.88,,NY,New
3255738,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,10,$275.00,$226.88,06/23/2019,FW,New
3255737,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,9,$275.00,$226.88,06/23/2019,FW,New
3255739,eqt support mid adv pk,eqt support mid adv pk,cgreen/cblack/bogold,d97056,10,$275.00,$226.88,06/23/2019,FW,New
3025569,air foamposite one mt qs,air foamposite one mt qs,racer blue/white-black,bv8161 400,7.5,$400.00,$330.00,03/27/2019,FW,New
3255742,air jordan 1 retro high og,air jordan 1 retro high og,black/crimson tint-white,555088 081,12.5,$200.00,$165.00,06/23/2019,FW,New
3235263,yeezy boost 700,yeezy boost 700,inerti/inerti/inerti,eg7597,4.5,$385.00,$317.62,06/15/2019,NY,New
3235227,yeezy 500,yeezy 500,utiblk/utiblk/utiblk,f36640,14,$390.00,$321.75,06/15/2019,NY,New
3056553,yeezy boost 700 v2,yeezy boost 700 v2,static/static/static,ef2829,9,$690.00,$569.25,04/06/2019,NY,New
2499102,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,6.5,$185.00,$152.62,07/14/2018,FO,New
2499107,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,5.5,$260.00,$214.50,07/14/2018,FO,New
2395433,ultraboost undftd,ultraboost undftd,black/white ,b22480,10,$390.00,$321.75,04/30/2018,FO,New
3255733,air max 1 premium,air max 1 premium,White/Gym Red/Racer Blue,CJ1621 100,15,$180.00,$148.50,06/23/2019,FW,New
3005061,one star ox,one star ox,Erget/Black/Multi,163167C,10,$155.00,$127.88,03/19/2019,FW,New
3005059,one star ox,one star ox,Erget/Black/Multi,163167C,10,$155.00,$127.88,03/19/2019,FW,New
2990342,converse jack purcell ox,converse jack purcell ox,White Swan/Egret/White Swan,164534C,12,$125.00,$103.12,03/13/2019,FW,New
2990339,zx 4000 4d,zx 4000 4d,ftwwht/gretwo/lingrn,b42203,9,$450.00,$371.25,03/13/2019,FW,New
2599830,react element 87/undercover,react element 87/undercover,volt/varsity red-black,bq2718 700,7.5,$395.00,$325.88,09/22/2018,FW,New
2599758,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599760,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599759,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599747,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599748,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599818,slip-on cap lx bla,slip-on cap lx bla,black/true white,vn0a3tks6bt,10.5,$185.00,$152.62,09/22/2018,FW,New
2599820,Slip-On Cap LX,Slip-On Cap LX,Marshmallow/True White,VN0A3TKSUC0,10.5,$150.00,$123.75,09/22/2018,FW,New
2599749,chop shop nbhd,chop shop nbhd,Black/White,DA8839,7,$140.00,$115.50,09/22/2018,FW,New
2599769,leadcat fenty,leadcat fenty,Shell/Puma Silver,362266 04,W11.5,$150.00,$123.75,09/22/2018,FW,New
2502694,Crazy BYW LVL X PW,Crazy BYW LVL X PW,CORE BLACK/FOOTWEAR WHITE/SOLAR PINK,G28182,8,$345.00,$284.62,07/16/2018,FW,New
2599801,yeezy 500,yeezy 500,sumoye/sumoye/sumoye,db2966,4,$485.00,$400.12,09/22/2018,NY,New
2599741,react element 87/undercover,react element 87/undercover,green mist/linen-summit white,bq2718 300,8,$550.00,$453.75,09/22/2018,NY,New
1906658,ultra boost mid,ultra boost mid,royal/white/grey,by3056,9,$170.00,$140.25,07/28/2017,FW,New
2554375,"Premier x Dunk High SB TRD 'Win Some, Lose Some'","Premier x Dunk High SB TRD 'Win Some, Lose Some'",Vachetta Tan/White-Metallic Gold,881758 217,6.5,$280.00,$231.00,08/23/2018,NY,New
2599819,slip-on cap lx bla,slip-on cap lx bla,black/true white,vn0a3tks6bt,9,$200.00,$165.00,09/22/2018,NY,New
2056554,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,10.5,$550.00,$453.75,10/18/2017,NY,New
