ID,NAME,MODEL,COLORWAY,STYLE,SIZE,PRICE,SELLER RETURN,DATE IN,DATE SOLD,LOCATION,CONDITION
2499100,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,6.5,$275.00,$226.88,07/14/2018,08/31/2018,NY,New
2499052,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,6,$345.00,$284.62,07/14/2018,08/31/2018,NY,New
2499133,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$425.00,$350.62,07/14/2018,08/31/2018,NY,New
2499047,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,6,$345.00,$284.62,07/14/2018,08/30/2018,NY,New
2499050,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,5,$325.00,$268.12,07/14/2018,08/30/2018,NJ,New
2499127,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$425.00,$350.62,07/14/2018,08/30/2018,NY,New
2499126,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$425.00,$350.62,07/14/2018,08/29/2018,NY,New
2499039,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,5,$325.00,$268.12,07/14/2018,08/29/2018,NJ,New
2499049,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,6,$345.00,$284.62,07/14/2018,08/29/2018,NY,New
2499026,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,5,$325.00,$268.12,07/14/2018,08/28/2018,NJ,New
2499006,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$425.00,$350.62,07/14/2018,08/27/2018,NY,New
2499130,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/24/2018,NY,New
2499008,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,5,$325.00,$268.12,07/14/2018,08/24/2018,NY,New
2499128,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/24/2018,NY,New
2499129,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/23/2018,NY,New
2499120,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/22/2018,NY,New
2499123,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/22/2018,NY,New
2499117,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/22/2018,NY,New
2499069,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,8.5,$440.00,$363.00,07/14/2018,08/21/2018,NJ,New
2499044,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,13,$365.00,$301.12,07/14/2018,08/21/2018,NY,New
2499116,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/20/2018,NY,New
2499115,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/18/2018,NY,New
2499055,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,7,$325.00,$268.12,07/14/2018,08/18/2018,NY,New
2499048,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,6,$350.00,$288.75,07/14/2018,08/17/2018,NY,New
2499042,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,7,$325.00,$268.12,07/14/2018,08/17/2018,NY,New
2499090,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,8.5,$345.00,$284.62,07/14/2018,08/17/2018,NY,New
2408618,air force 1 prm clot,air force 1 prm clot,white/white,ao9286 100,7,$415.00,$342.38,05/12/2018,08/11/2018,NY,New
2499112,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,9.5,$705.00,$581.62,07/14/2018,08/06/2018,NY,New
2499070,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,9,$410.00,$338.25,07/14/2018,08/06/2018,NY,New
2499122,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/05/2018,NY,New
2499121,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499119,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499011,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$405.00,$334.12,07/14/2018,08/04/2018,NY,New
2499118,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499014,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/03/2018,NY,New
2499068,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,8,$395.00,$325.88,07/14/2018,08/03/2018,NY,New
2499005,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,6,$660.00,$544.50,07/14/2018,08/03/2018,NY,New
2499071,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,8.5,$440.00,$363.00,07/14/2018,08/01/2018,NY,New
2121309,yeezy boost 350 v2,yeezy boost 350 v2,sefrye/rawste/red,b37572,8,$535.00,$441.38,11/28/2017,07/23/2018,NY,New
2499175,pw hu holi nmd mc,pw hu holi nmd mc,purple/green/pink,ac7034,9.5,$390.00,$321.75,07/14/2018,07/22/2018,NY,New
2499035,air jordan 1 x off-white nrg,air jordan 1 x off-white nrg,white/dark powder blue-cone,aq0818 148,8,"$1,135.00",$936.38,07/14/2018,07/18/2018,NY,New
2499180,yeezy 500,yeezy 500,blush/blush/blush,db2908,14,$370.00,$305.25,07/14/2018,07/16/2018,NY,New
2096400,Ace 16+ Pure control ultrab,Ace 16+ Pure control ultrab,Clay/Sesame,CG3655,10,$200.00,$165.00,11/15/2017,07/14/2018,NY,New
2473673,react element 87,react element 87,sail/light bone-white,aq1090 100,8.5,$425.00,$350.62,06/27/2018,07/07/2018,NY,New
2473676,react element 87,react element 87,sail/light bone-white,aq1090 100,9,$425.00,$350.62,06/27/2018,07/07/2018,NY,New
2408642,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,07/03/2018,NY,New
2473675,react element 87,react element 87,sail/light bone-white,aq1090 100,9,$425.00,$350.62,06/27/2018,07/02/2018,NY,New
2408641,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,07/01/2018,NY,New
2408640,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,06/30/2018,NY,New
2473674,react element 87,react element 87,sail/light bone-white,aq1090 100,9,$425.00,$350.62,06/27/2018,06/30/2018,NY,New
2408639,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,06/30/2018,NY,New
2408637,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,06/29/2018,NY,New
2408635,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$365.00,$301.12,05/12/2018,06/29/2018,NY,New
2182046,yeezy boost 350 v2,yeezy boost 350 v2,sefrye/rawste/red,b37572,6.5,$530.00,$437.25,12/19/2017,06/29/2018,NY,New
2408633,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/16/2018,NY,New
2408631,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/15/2018,NY,New
2408630,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/15/2018,NY,New
2408632,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/04/2018,NY,New
2408629,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/04/2018,NY,New
2408627,yeezy 500,yeezy 500,blush/blush/blush,db2908,8,$370.00,$305.25,05/12/2018,06/02/2018,NY,New
2408614,Wmns M2K Tekno 'Pink Foam',Wmns M2K Tekno 'Pink Foam',pink foam/black-phantom white,AO3108 600,W9.5,$300.00,$247.50,05/12/2018,05/28/2018,NY,New
2408158,air jordan 11 retro,air jordan 11 retro,black/black-black,378037 005,9,$450.00,$371.25,05/11/2018,05/26/2018,NY,New
2408612,Wmns M2K Tekno 'Pink Foam',Wmns M2K Tekno 'Pink Foam',pink foam/black-phantom white,AO3108 600,W9,$300.00,$247.50,05/12/2018,05/25/2018,NY,New
2408622,yeezy 500,yeezy 500,blush/blush/blush,db2908,8.5,$360.00,$297.00,05/12/2018,05/21/2018,NY,New
2408617,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,9,$360.00,$297.00,05/12/2018,05/16/2018,NY,New
2408623,yeezy 500,yeezy 500,blush/blush/blush,db2908,11,$300.00,$247.50,05/12/2018,05/16/2018,NY,New
2408625,yeezy 500,yeezy 500,blush/blush/blush,db2908,11,$300.00,$247.50,05/12/2018,05/15/2018,NY,New
2408619,the 10: nike air vapormax fk,the 10: nike air vapormax fk,black/clear-total orange,aa3831 002,9,$775.00,$639.38,05/12/2018,05/14/2018,NY,New
2395431,yeezy 500,yeezy 500,blush/blush/blush,db2908,6.5,$420.00,$346.50,04/30/2018,05/04/2018,NY,New
2349983,air force 1 mid '07/supreme,air force 1 mid '07/supreme,black/black,aq8017 001,11.5,$280.00,$231.00,04/05/2018,05/01/2018,NY,New
2349976,pw hu holi nmd mc,pw hu holi nmd mc,pink glow/lab green/flash purple,ac7362,4,$635.00,$523.88,04/05/2018,04/26/2018,NY,New
2349981,air force 1 mid '07/supreme,air force 1 mid '07/supreme,white/white,aq8017 100,9,$345.00,$284.62,04/05/2018,04/24/2018,NY,New
2330448,air jordan 8 retro ovo,air jordan 8 retro ovo,white/blur-metallic gold,aa1239 135,14,$400.00,$330.00,03/22/2018,04/17/2018,NY,New
2302889,AIR JORDAN 17 RET LOW SOLEFLY,AIR JORDAN 17 RET LOW SOLEFLY,BLACK/LIGHTNING,AJ7321 003,9,$565.00,$466.12,03/05/2018,04/11/2018,FW,New
2349984,nmd r1 pk nbhd,nmd r1 pk nbhd,black/white,da8835,11.5,$340.00,$280.50,04/05/2018,04/08/2018,NY,New
2349982,air force 1 mid '07/supreme,air force 1 mid '07/supreme,white/white,aq8017 100,13,$275.00,$226.88,04/05/2018,04/08/2018,NY,New
2211105,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,9,$495.00,$408.38,01/03/2018,04/01/2018,NY,New
2187903,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,9.5,$500.00,$412.50,12/21/2017,03/26/2018,NY,New
2182045,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,5,$495.00,$408.38,12/19/2017,03/26/2018,NY,New
2186033,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,9.5,$500.00,$412.50,12/20/2017,03/25/2018,NY,New
2330445,nmd r1 pk nbhd,nmd r1 pk nbhd,black/white,da8835,8,$355.00,$292.88,03/22/2018,03/24/2018,NY,New
2330446,nmd r1 pk nbhd,nmd r1 pk nbhd,black/white,da8835,13,$365.00,$301.12,03/22/2018,03/24/2018,NY,New
2330447,air jordan 8 retro ovo,air jordan 8 retro ovo,white/blur-metallic gold,aa1239 135,9,$370.00,$305.25,03/22/2018,03/23/2018,NY,New
2182043,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,9,$495.00,$408.38,12/19/2017,03/19/2018,NY,New
2182041,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,9,$495.00,$408.38,12/19/2017,03/19/2018,NY,New
2302897,nike air max 1 dlx,nike air max 1 dlx,Wheat/Bison/Classic Green/Sport Red,AQ0928 700,5,$380.00,$313.50,03/05/2018,03/18/2018,NY,New
2302898,air max 95 dlx,air max 95 dlx,pony/sport red-black,aq0929 200,9,$475.00,$391.88,03/05/2018,03/17/2018,NY,New
2187899,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,10,$500.00,$412.50,12/21/2017,03/13/2018,NY,New
2302894,nmd r1 pk nbhd,nmd r1 pk nbhd,black/white,da8835,8.5,$345.00,$284.62,03/05/2018,03/13/2018,NY,New
2302887,air jordan 8 retro ovo,air jordan 8 retro ovo,black/blur-metallic gold,aa1239 045,11,$340.00,$280.50,03/05/2018,03/11/2018,NY,New
2211075,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,8.5,$495.00,$408.38,01/03/2018,03/10/2018,NY,New
2302881,air force 1 prm clot,air force 1 prm clot,white/white,ao9286 100,9,$475.00,$391.88,03/05/2018,03/07/2018,NY,New
2302883,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/black-metallic gold,861428 007,10,$300.00,$247.50,03/05/2018,03/06/2018,NY,New
2302886,air jordan 8 retro ovo,air jordan 8 retro ovo,black/blur-metallic gold,aa1239 045,9,$360.00,$297.00,03/05/2018,03/06/2018,NY,New
2302893,nmd r1 pk nbhd,nmd r1 pk nbhd,black/white,da8835,9,$345.00,$284.62,03/05/2018,03/05/2018,NY,New
2302882,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/black-metallic gold,861428 007,10,$300.00,$247.50,03/05/2018,03/05/2018,NY,New
2182040,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,9.5,$500.00,$412.50,12/19/2017,02/28/2018,NY,New
2182038,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,10,$495.00,$408.38,12/19/2017,02/27/2018,NY,New
2182039,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,9.5,$500.00,$412.50,12/19/2017,02/27/2018,NY,New
2134028,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,6,$575.00,$474.38,11/30/2017,02/23/2018,NY,New
2096397,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,9,"$1,000.00",$825.00,11/15/2017,02/20/2018,NY,New
2182044,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,6,$525.00,$433.12,12/19/2017,02/15/2018,NY,New
2096385,pw human race nmd tr,pw human race nmd tr,core-back/white,ac7359,8,$550.00,$453.75,11/15/2017,02/01/2018,NY,New
2211101,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,12,$495.00,$408.38,01/03/2018,01/30/2018,NY,New
2211034,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,7.5,$520.00,$429.00,01/03/2018,01/28/2018,NY,New
2121329,the 10: nike zoom fly,the 10: nike zoom fly,white/white-muslin,aj4588 100,9,$605.00,$499.12,11/28/2017,01/22/2018,NY,New
2187909,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,6,$500.00,$412.50,12/21/2017,01/19/2018,NY,New
2228454,era 95 dx (f.o.g),era 95 dx (f.o.g),red corduroy,vn0a3mq5pzq,10,$445.00,$367.12,01/10/2018,01/17/2018,NY,New
2228455,era 95 dx (f.o.g),era 95 dx (f.o.g),red corduroy,vn0a3mq5pzq,8,$480.00,$396.00,01/10/2018,01/14/2018,NY,New
2121317,the 10: nike air vapormax fk,the 10: nike air vapormax fk,black/white-black,aa3831 001,9,$905.00,$746.62,11/28/2017,01/05/2018,NY,New
2121318,the 10: hyperdunk 2017 fk,the 10: hyperdunk 2017 fk,white/black-white,aj4578 100,9,$550.00,$453.75,11/28/2017,01/03/2018,NY,New
2121324,Ace 16+ Pure control ultrab,Ace 16+ Pure control ultrab,Clay/Sesame,CG3655,7.5,$300.00,$247.50,11/28/2017,12/26/2017,NY,New
2186035,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,6,$500.00,$412.50,12/20/2017,12/23/2017,NY,New
2182052,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,6,$500.00,$412.50,12/19/2017,12/22/2017,NY,New
2121315,the 10 : nike air force 1 low,the 10 : nike air force 1 low,white/white-white,ao4606 100,10,$625.00,$515.62,11/28/2017,12/22/2017,NY,New
2182053,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,6,$500.00,$412.50,12/19/2017,12/21/2017,NY,New
2182051,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,6,$500.00,$412.50,12/19/2017,12/21/2017,NY,New
2102841,pw human race nmd tr,pw human race nmd tr,Pale Nude/Core Black-Yellow,ac7361,9,$440.00,$363.00,11/19/2017,12/21/2017,NY,New
2121311,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,7,$575.00,$474.38,11/28/2017,12/20/2017,NY,New
2182050,yeezy boost 350 v2,yeezy boost 350 v2,blutin/grethr/hirere,b37571,7,$550.00,$453.75,12/19/2017,12/20/2017,NY,New
2179221,nmd r1 pk,nmd r1 pk,black/white/blue/red,s79168,10,$345.00,$284.62,12/18/2017,12/19/2017,NY,New
2121321,Fear of God x Slip-On 47 DX 'Collection 2 Red Black',Fear of God x Slip-On 47 DX 'Collection 2 Red Black',Red/Black/Suede,VN0A3J9FPQR,8.5,$565.00,$466.12,11/28/2017,12/16/2017,NY,New
2102844,nmd r1 pk,nmd r1 pk,Talc/Black/Black,CQ1862,9,$295.00,$243.38,11/19/2017,12/13/2017,NY,New
2134008,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,11,$575.00,$474.38,11/30/2017,12/02/2017,NY,New
2134007,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,11,$575.00,$474.38,11/30/2017,12/02/2017,NY,New
2054936,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,8.5,$660.00,$544.50,10/17/2017,12/01/2017,NY,New
2134010,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,6,$575.00,$474.38,11/30/2017,11/30/2017,NY,New
2121310,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,6,$575.00,$474.38,11/28/2017,11/29/2017,NY,New
2122078,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,11,$575.00,$474.38,11/28/2017,11/29/2017,NY,New
2121308,yeezy boost 350 v2,yeezy boost 350 v2,grey/borang/dgsogr,ah2203,6,$575.00,$474.38,11/28/2017,11/29/2017,NY,New
2121320,mountain edition,mountain edition,red/print,vn0a3mq4pqp,8,$335.00,$276.38,11/28/2017,11/29/2017,NY,New
2056553,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,10.5,$550.00,$453.75,10/18/2017,11/24/2017,NY,New
2081053,air jordan 16 retro,air jordan 16 retro,black/metallic-silver,aa1235 003,8.5,$555.00,$457.88,11/05/2017,11/15/2017,NY,New
2056556,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,10,$550.00,$453.75,10/18/2017,11/06/2017,NY,New
2054935,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,8.5,$660.00,$544.50,10/17/2017,11/05/2017,NY,New
2056555,nike air max 97 og/ undftd,nike air max 97 og/ undftd,Sail/Speed red-white,AJ1986 100,10,$555.00,$457.88,10/18/2017,11/04/2017,NY,New
1833410,Copa 17.1 Kith Ultraboost,Copa 17.1 Kith Ultraboost,Crystal White/Crystal White/Clear Grey,CM7895,9,$360.00,$297.00,06/07/2017,09/25/2017,NY,New
1869975,yeezy boost 350 v2,yeezy boost 350 v2,white/cblack/red,cp9654,9,$650.00,$536.25,06/29/2017,09/07/2017,FW,New
1872907,yeezy boost 350 v2,yeezy boost 350 v2,white/cblack/red,cp9654,11,$700.00,$577.50,07/02/2017,07/24/2017,FW,New
1872906,yeezy boost 350 v2,yeezy boost 350 v2,white/cblack/red,cp9654,11,$700.00,$577.50,07/02/2017,07/24/2017,FW,New
1829007,nmd r1_pk,nmd r1_pk,white/grey-blue,bb6364,9,$425.00,$350.62,06/05/2017,07/20/2017,FW,New
1867814,yeezy boost 350 v2,yeezy boost 350 v2,white/cblack/red,cp9654,9.5,$750.00,$618.75,06/28/2017,06/30/2017,NY,New
1807960,nmd r1_pk,nmd r1_pk,ftwwht/cblack/orange,bb6365,9,$500.00,$412.50,05/23/2017,06/28/2017,FW,New
1845966,yeezy powerphase,yeezy powerphase,cwhite/cwhite/cwhite,cq1693,9,$200.00,$165.00,06/14/2017,06/25/2017,NY,New
1829008,yeezy powerphase,yeezy powerphase,cwhite/cwhite/cwhite,cq1693,9,$200.00,$165.00,06/05/2017,06/22/2017,FW,New
1826420,yeezy powerphase,yeezy powerphase,cwhite/cwhite/cwhite,cq1693,9,$250.00,$206.25,06/04/2017,06/15/2017,NY,New
1809565,nmd r1_pk,nmd r1_pk,ftwwht/cblack/orange,bb6365,9,$500.00,$412.50,05/24/2017,05/25/2017,NY,New
1756347,nmd cs2 pk s.e.,nmd cs2 pk s.e.,pink/white,by2596,9,$250.00,$206.25,04/21/2017,05/04/2017,NY,New
1768522,yeezy boost 350 v2,yeezy boost 350 v2,cwhite/cwhite/cwhite,cp9366,7.5,$700.00,$577.50,04/29/2017,05/01/2017,NY,New
1685073,yeezy boost 350 v2,yeezy boost 350 v2,white/cblack/red,cp9654,6,"$1,750.00","$1,443.75",03/04/2017,04/21/2017,NY,New
1569499,Ultra Boost Mid Kith,Ultra Boost Mid Kith,Footwear White/Core Black/Clear Brown,BY2592,9,$500.00,$412.50,01/03/2017,01/04/2017,NY,New